strain,location,time
200,0,2020-01-01
197,0,2020-01-08
191,0,2020-01-14
131,0,2020-02-06
109,0,2020-02-22
19,0,2020-03-24
71,0,2020-03-17
110,0,2020-02-20
45,0,2020-03-22
78,0,2020-03-14
170,0,2020-01-26
90,0,2020-03-09
168,0,2020-01-26
4,0,2020-03-26
77,0,2020-03-14
196,0,2020-01-09
194,0,2020-01-11
183,0,2020-01-18
164,0,2020-01-28
12,0,2020-03-25
69,0,2020-03-17
182,0,2020-01-19
64,0,2020-03-18
142,0,2020-02-02
35,0,2020-03-23
55,0,2020-03-20
193,0,2020-01-13
190,0,2020-01-15
178,0,2020-01-21
5,0,2020-03-26
152,0,2020-02-01
52,0,2020-03-20
147,0,2020-02-02
60,0,2020-03-19
106,0,2020-02-24
34,0,2020-03-23
59,0,2020-03-19
186,0,2020-01-17
167,0,2020-01-26
50,0,2020-03-21
165,0,2020-01-28
68,0,2020-03-17
146,0,2020-02-02
0,0,2020-03-26
111,0,2020-02-20
10,0,2020-03-25
91,0,2020-03-08
181,0,2020-01-19
151,0,2020-02-01
116,0,2020-02-14
17,0,2020-03-24
61,0,2020-03-19
124,0,2020-02-09
2,0,2020-03-26
115,0,2020-02-14
38,0,2020-03-23
57,0,2020-03-20
173,0,2020-01-22
96,0,2020-03-03
102,0,2020-02-27
94,0,2020-03-06
97,0,2020-03-02
192,0,2020-01-14
44,0,2020-03-22
189,0,2020-01-15
184,0,2020-01-18
158,0,2020-01-30
16,0,2020-03-25
154,0,2020-01-30
26,0,2020-03-24
144,0,2020-02-02
132,0,2020-02-06
27,0,2020-03-24
101,0,2020-02-27
134,0,2020-02-06
108,0,2020-02-23
11,0,2020-03-25
99,0,2020-02-29
127,0,2020-02-09
21,0,2020-03-24
37,0,2020-03-23
174,0,2020-01-22
49,0,2020-03-21
162,0,2020-01-28
149,0,2020-02-01
76,0,2020-03-14
120,0,2020-02-11
29,0,2020-03-23
119,0,2020-02-12
25,0,2020-03-24
54,0,2020-03-20
159,0,2020-01-29
62,0,2020-03-19
98,0,2020-03-01
188,0,2020-01-16
177,0,2020-01-21
66,0,2020-03-18
166,0,2020-01-27
82,0,2020-03-13
156,0,2020-01-30
130,0,2020-02-07
3,0,2020-03-26
123,0,2020-02-10
92,0,2020-03-08
103,0,2020-02-26
148,0,2020-02-02
137,0,2020-02-05
14,0,2020-03-25
126,0,2020-02-09
36,0,2020-03-23
72,0,2020-03-16
141,0,2020-02-03
129,0,2020-02-07
39,0,2020-03-22
80,0,2020-03-13
133,0,2020-02-06
33,0,2020-03-23
43,100,2020-03-22
179,0,2020-01-20
150,0,2020-02-01
138,0,2020-02-05
41,101,2020-03-22
117,0,2020-02-14
13,0,2020-03-25
56,0,2020-03-20
145,0,2020-02-02
32,0,2020-03-23
88,0,2020-03-10
6,0,2020-03-26
24,0,2020-03-24
176,0,2020-01-22
48,0,2020-03-21
7,0,2020-03-26
31,0,2020-03-23
161,0,2020-01-28
53,0,2020-03-20
155,0,2020-01-30
63,0,2020-03-19
70,0,2020-03-17
195,0,2020-01-10
172,0,2020-01-24
128,0,2020-02-08
51,0,2020-03-20
121,0,2020-02-11
65,0,2020-03-18
113,0,2020-02-19
89,0,2020-03-09
93,0,2020-03-06
140,0,2020-02-03
81,0,2020-03-13
95,0,2020-03-05
74,0,2020-03-15
85,0,2020-03-11
185,0,2020-01-17
22,0,2020-03-24
125,0,2020-02-09
105,0,2020-02-25
79,0,2020-03-13
104,0,2020-02-25
40,0,2020-03-22
84,0,2020-03-11
122,0,2020-02-11
42,0,2020-03-22
118,0,2020-02-13
47,0,2020-03-21
83,0,2020-03-11
199,0,2020-01-06
28,0,2020-03-24
198,0,2020-01-07
75,0,2020-03-15
187,0,2020-01-17
46,0,2020-03-21
180,0,2020-01-19
171,0,2020-01-26
157,0,2020-01-30
23,0,2020-03-24
153,0,2020-01-31
169,0,2020-01-26
1,0,2020-03-26
163,0,2020-01-28
86,0,2020-03-10
160,0,2020-01-29
135,0,2020-02-05
30,0,2020-03-23
67,0,2020-03-17
139,0,2020-02-04
87,0,2020-03-10
114,0,2020-02-17
15,0,2020-03-25
112,0,2020-02-19
175,0,2020-01-22
8,0,2020-03-26
143,0,2020-02-02
100,0,2020-02-28
18,0,2020-03-24
58,0,2020-03-19
136,0,2020-02-05
73,0,2020-03-16
107,0,2020-02-23
9,0,2020-03-26
20,0,2020-03-24
