alpha2,population
AF,32716210
AL,2889104
DZ,38760168
AS,52217
AD,71621
AO,27128337
AG,89236
AR,42669500
AM,2889930
AW,103594
AU,23475686
AT,8546356
AZ,9535079
BS,389131
BH,1311134
BD,155961299
BB,277493
BY,9448515
BE,11209057
BZ,352335
BJ,10614844
BM,65138
BT,736357
BO,10916987
BA,3571068
BW,2260376
BR,203459650
VG,28971
BN,416656
BG,7223938
BF,18169842
BI,10494913
CV,546076
KH,15210817
CM,22299585
CA,35434066
KY,59559
CF,4798734
TD,13697126
CL,17687108
CN,1371860000
CO,46677947
KM,714612
CD,76035588
CG,4944861
CR,4844288
CI,22995555
HR,4238389
CU,11332026
CW,155909
CY,1176995
CZ,10525347
DK,5643475
DJ,989087
DM,69371
DO,10282115
EC,15957994
EG,95592324
SV,6209526
GQ,1295183
ER,3323425
EE,1314545
SZ,1125865
ET,99746766
FO,48465
FJ,915560
FI,5461512
FR,66312067
PF,289873
GA,1966855
GM,2189019
GE,3719414
DE,80982500
GH,28196358
GI,32452
GR,10892413
GL,56295
GD,117972
GU,167543
GT,15306316
GN,11333365
GW,1743309
GY,751115
HT,10412740
HN,9127846
HK,7229500
HU,9866468
IS,327386
IN,1307246509
ID,256229761
IR,79961672
IQ,36746488
IE,4657740
IM,83896
IL,8215700
IT,60789140
JM,2784543
JP,127276000
JO,8658026
KZ,17288285
KE,45831863
KI,114985
KP,25126131
KR,50746659
KW,3761584
KG,5835500
LA,6691454
LV,1993782
LB,6274342
LS,2095242
LR,4519398
LY,6097764
LI,37096
LT,2932367
LU,556319
MO,604167
MG,24215976
MW,16477966
MY,30606459
MV,416738
ML,17551814
MT,434558
MH,50419
MR,3843174
MU,1261208
MX,118755887
FM,109024
MD,2857815
MC,36110
MN,2902823
ME,621810
MA,34248603
MZ,26038704
MM,51072436
NA,2243001
NR,10940
NP,27462106
NL,16865008
NC,268050
NZ,4516500
NI,6208676
NE,19372014
NG,179379016
MK,1917557
MP,51856
NO,5137232
OM,4009267
PK,208251628
PW,17796
PA,3888793
PG,8464153
PY,6090721
PE,30353951
PH,101325201
PL,38011735
PT,10401062
PR,3534874
QA,2214465
RO,19908979
RU,144237223
RW,11368451
WS,201757
SM,33389
ST,197497
SA,32125564
SN,13970308
RS,7130576
SC,91359
SL,7140688
SG,5469724
SX,37685
SK,5418649
SI,2061980
SB,597375
SO,13309235
ZA,54729551
SS,11213284
ES,46480882
LK,21239457
KN,47789
LC,174804
MF,35261
VC,106912
SD,37003245
SR,569682
SE,9696110
CH,8188649
SY,20072232
TJ,8326348
TZ,50814552
TH,69960943
TL,1184830
TG,7288383
TO,106626
TT,1450661
TN,11428948
TR,77181884
TM,5663152
TC,34985
TV,10899
UG,36336539
UA,45272155
AE,8835951
GB,64602298
US,318386329
UY,3391662
UZ,30757700
VU,269927
VE,30193258
VN,91235504
VI,107882
PS,4173398
YE,27753304
ZM,15737793
ZW,13855753
